raw_data_limit_max,,,,,,,,,,,,,,,,,,,,,,,,,
4453,4777,4703,4752,4698,4714,4589,4663,4614,4643,4602,4633,4521,3943,4085,4146,4167,4224,4248,4309,4355,4432,4488,4556,4636,4612
4345,4685,4617,4663,4610,4626,4508,4577,4533,4557,4520,4543,4393,4010,4188,4249,4273,4328,4353,4413,4461,4534,4590,4657,4740,4706
4246,4583,4514,4561,4508,4531,4413,4483,4441,4468,4435,4460,4312,4005,4186,4250,4277,4334,4362,4418,4468,4539,4594,4665,4746,4713
4163,4494,4428,4475,4424,4447,4332,4404,4364,4393,4362,4390,4243,4009,4187,4255,4281,4341,4368,4425,4474,4543,4599,4671,4753,4723
4142,4481,4413,4464,4411,4437,4321,4393,4354,4384,4355,4382,4234,4080,4265,4325,4355,4407,4437,4493,4544,4614,4668,4741,4822,4793
4068,4397,4335,4382,4336,4358,4242,4319,4277,4313,4282,4317,4173,4084,4265,4328,4353,4410,4436,4494,4540,4610,4665,4735,4818,4786
4008,4337,4270,4321,4274,4303,4191,4268,4229,4264,4236,4271,4129,4106,4287,4350,4377,4429,4457,4512,4562,4627,4679,4747,4827,4799
3859,4174,4113,4163,4118,4146,4040,4119,4080,4120,4093,4134,4001,4056,4233,4297,4325,4377,4406,4460,4512,4575,4628,4696,4780,4753
3830,4142,4083,4132,4091,4118,4014,4093,4055,4095,4072,4115,3985,4108,4286,4347,4375,4425,4455,4504,4557,4615,4671,4736,4820,4787
3799,4109,4047,4099,4057,4088,3984,4069,4029,4073,4050,4096,3966,4161,4338,4398,4427,4476,4505,4552,4602,4660,4711,4776,4856,4821
3758,4071,4004,4063,4014,4053,3945,4033,3991,4043,4018,4070,3941,4209,4383,4449,4475,4524,4550,4594,4642,4694,4743,4805,4886,4843
3815,4130,4061,4121,4075,4115,4008,4099,4057,4110,4084,4142,4012,4389,4564,4625,4650,4695,4721,4763,4812,4861,4913,4974,5054,5010
3639,3942,3876,3937,3891,3932,3834,3921,3886,3939,3919,3976,3854,4415,4571,4629,4654,4699,4720,4756,4805,4847,4899,4957,5037,4995
raw_data_limit_min,,,,,,,,,,,,,,,,,,,,,,,,,
2398,2572,2532,2559,2529,2538,2471,2511,2484,2500,2478,2494,2434,2123,2199,2232,2243,2274,2287,2320,2345,2386,2416,2453,2496,2483
2339,2523,2486,2511,2482,2491,2427,2464,2440,2453,2433,2446,2365,2159,2255,2288,2301,2330,2344,2376,2402,2441,2471,2507,2552,2534
2286,2468,2430,2456,2427,2440,2376,2414,2391,2406,2388,2401,2322,2156,2254,2288,2303,2333,2348,2379,2406,2444,2473,2512,2555,2538
2241,2420,2384,2409,2382,2394,2333,2371,2350,2365,2348,2364,2285,2158,2254,2291,2305,2337,2352,2383,2409,2446,2476,2515,2559,2543
2230,2413,2376,2403,2375,2389,2326,2365,2344,2360,2345,2359,2279,2197,2296,2329,2345,2373,2389,2419,2446,2484,2513,2553,2596,2580
2190,2367,2334,2359,2334,2346,2284,2325,2303,2322,2305,2324,2247,2199,2296,2330,2344,2374,2388,2420,2444,2482,2512,2549,2594,2577
2158,2335,2299,2327,2301,2317,2256,2298,2277,2296,2281,2300,2223,2211,2308,2342,2356,2385,2400,2429,2456,2491,2519,2556,2599,2584
2078,2247,2215,2241,2217,2232,2175,2218,2197,2218,2204,2226,2154,2184,2279,2314,2328,2357,2372,2401,2429,2463,2492,2528,2574,2559
2062,2230,2198,2225,2203,2217,2161,2203,2183,2205,2192,2216,2145,2212,2307,2340,2356,2382,2399,2425,2453,2485,2515,2550,2595,2577
2045,2212,2179,2207,2184,2201,2145,2191,2169,2193,2181,2205,2135,2240,2336,2368,2384,2410,2425,2451,2478,2509,2537,2571,2615,2596
2023,2192,2156,2188,2161,2182,2124,2172,2149,2177,2163,2191,2122,2266,2360,2396,2410,2436,2450,2474,2499,2527,2554,2587,2631,2608
2054,2223,2187,2219,2194,2215,2158,2207,2184,2213,2199,2230,2160,2363,2457,2490,2504,2528,2542,2564,2591,2617,2645,2678,2721,2697
1959,2122,2087,2120,2095,2117,2064,2111,2092,2121,2110,2141,2075,2377,2461,2492,2506,2530,2541,2561,2587,2610,2637,2669,2712,2689
deviation_limit,,,,,,,,,,,,,,,,,,,,,,,,,
300,300,300,300,300,300,300,300,300,300,300,300,300,320,320,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,320,320,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
300,300,300,300,300,300,300,300,300,300,300,300,300,320,320,300,300,300,300,300,300,300,300,300,300,300
noise_limit,,,,,,,,,,,,,,,,,,,,,,,,,
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
