major minor  #blocks  name

 254        0    1048576 zram0
 179        0   15267840 mmcblk0
 179        1        512 mmcblk0p1
 179        2        512 mmcblk0p2
 179        3       2048 mmcblk0p3
 179        4        256 mmcblk0p4
 179        5      16384 mmcblk0p5
 179        6        512 mmcblk0p6
 179        7        512 mmcblk0p7
 179        8        512 mmcblk0p8
 179        9       1024 mmcblk0p9
 179       10        512 mmcblk0p10
 179       11        128 mmcblk0p11
 179       12        256 mmcblk0p12
 179       13        256 mmcblk0p13
 179       14          8 mmcblk0p14
 179       15          1 mmcblk0p15
 179       16          8 mmcblk0p16
 179       17       2048 mmcblk0p17
 179       18       7262 mmcblk0p18
 179       19       4096 mmcblk0p19
 179       20       1024 mmcblk0p20
 179       21       1024 mmcblk0p21
 179       22       1024 mmcblk0p22
 179       23      10752 mmcblk0p23
 179       24       4096 mmcblk0p24
 179       25         32 mmcblk0p25
 179       26         16 mmcblk0p26
 179       27       1024 mmcblk0p27
 179       28         32 mmcblk0p28
 179       29       9648 mmcblk0p29
 179       30      65536 mmcblk0p30
 179       31       4096 mmcblk0p31
 259        0       4096 mmcblk0p32
 259        1       4096 mmcblk0p33
 259        2       8192 mmcblk0p34
 259        3       8192 mmcblk0p35
 259        4       4096 mmcblk0p36
 259        5      98304 mmcblk0p37
 259        6      57344 mmcblk0p38
 259        7      32768 mmcblk0p39
 259        8      16384 mmcblk0p40
 259        9      57344 mmcblk0p41
 259       10      16384 mmcblk0p42
 259       11      32768 mmcblk0p43
 259       12      16384 mmcblk0p44
 259       13     131072 mmcblk0p45
 259       14      32768 mmcblk0p46
 259       15      32768 mmcblk0p47
 259       16      65536 mmcblk0p48
 259       17      32768 mmcblk0p49
 259       18      32768 mmcblk0p50
 259       19     622592 mmcblk0p51
 259       20     196608 mmcblk0p52
 259       21     196608 mmcblk0p53
 259       22    2686976 mmcblk0p54
 259       23   10745839 mmcblk0p55
 179       32       4096 mmcblk0rpmb
 179       64  124868608 mmcblk1
 179       65  124867584 mmcblk1p1
 253        0    2645024 dm-0
 253        1     612836 dm-1
 253        2      32212 dm-2
 253        3     193500 dm-3
 253        4      32212 dm-4
 253        5     193500 dm-5
